ccn,provider_name,city,zip_code,county,ownership_type,certified_beds,overall_rating,health_inspection_rating,qm_rating,staffing_rating,aide_hours,rn_hours,total_nursing_hours,staff_turnover,total_fines,total_penalties,latitude,longitude
505004,AVAMERE REHABILITATION OF ISSAQUAH,ISSAQUAH,98027,King,For profit - Limited Liability company,140,2,2,4,2,2.65821,0.57763,4.28818,43,48663,1,47.5385,-122.04
505009,AVAMERE REHABILITATION OF SHORELINE,SEATTLE,98155,King,For profit - Corporation,115,2,1,5,3,2.53599,0.83799,4.14002,37,0,0,47.734,-122.31
505010,GARDEN VILLAGE,YAKIMA,98902,Yakima,Non profit - Corporation,101,2,2,3,2,2.87653,0.47056,4.24439,NA,102166,4,46.5957,-120.52
505016,GRAYS HARBOR HEALTH & REHABILITATION CENTER,ABERDEEN,98520,Grays Harbor,For profit - Corporation,105,4,4,4,3,2.88324,0.39386,4.34556,43.9,0,0,46.979,-123.85
505017,WASHINGTON CARE CENTER,SEATTLE,98144,King,For profit - Limited Liability company,165,3,2,5,4,2.2044,0.97389,3.93199,45.7,58704,3,47.5722,-122.3
505024,SPOKANE FALLS CARE,SPOKANE,99207,Spokane,For profit - Corporation,100,1,1,3,2,2.37443,0.45288,3.76961,56,125736,2,47.7115,-117.41
505033,ROCKWOOD SOUTH HILL,SPOKANE,99223,Spokane,Non profit - Church related,45,3,3,2,4,3.21239,1.45666,5.00994,NA,0,0,47.6844,-117.41
505042,BALLARD  CENTER,SEATTLE,98117,King,For profit - Limited Liability company,142,2,2,3,4,2.05646,0.9605,3.57916,53,0,1,47.6979,-122.37
505059,PANORAMA CITY CONV & REHAB CTR,LACEY,98503,Thurston,Non profit - Corporation,155,5,4,5,5,3.09889,0.94754,4.91977,30.8,42904,2,47.0314,-122.83
505070,LIFE CARE CENTER OF RICHLAND,RICHLAND,99352,Benton,For profit - Corporation,104,3,2,5,2,2.32937,0.64129,4.01171,62,141035,2,46.2614,-119.28
505074,PARK MANOR REHABILITATION CTR,WALLA WALLA,99362,Walla Walla,For profit - Corporation,99,5,5,5,5,2.59324,1.24883,4.37743,27.6,28106,1,46.0475,-118.35
505075,REGENCY AT THE PARK,COLLEGE PLACE,99324,Walla Walla,For profit - Corporation,106,4,4,3,4,2.43604,1.17495,4.11389,44.6,148838,3,46.0437,-118.37
505080,LIFE CARE CENTER OF KENNEWICK,KENNEWICK,99336,Benton,For profit - Corporation,136,3,2,5,4,2.32207,0.90674,4.15768,48.3,67689,3,46.2022,-119.14
505081,PACIFIC CARE AND REHABILITATION,HOQUIAM,98550,Grays Harbor,For profit - Corporation,72,5,5,5,3,2.32413,0.64924,3.97135,39.4,0,0,46.9769,-123.86
505085,CRESCENT HEALTH CARE,YAKIMA,98908,Yakima,For profit - Corporation,85,2,2,2,3,2.18825,0.63546,3.54854,33.3,274247,5,46.6052,-120.56
505086,LANDMARK CARE AND REHABILITATION,YAKIMA,98902,Yakima,For profit - Corporation,93,1,1,4,4,2.73422,0.78646,3.93102,32.4,356032,3,46.6093,-120.56
505092,ALDERWOOD PARK HEALTH AND REHAB OF CASCADIA,BELLINGHAM,98225,Whatcom,For profit - Limited Liability company,102,5,4,5,3,2.12517,0.95171,3.81504,39.2,0,0,48.7799,-122.5
505093,ORCHARD PARK HEALTH CARE & REHAB CENTER,TACOMA,98409,Pierce,For profit - Limited Liability company,147,1,1,3,4,1.96321,0.72123,3.81007,40.8,154724,2,47.2138,-122.5
505096,LINDEN POST ACUTE,TOPPENISH,98948,Yakima,For profit - Corporation,75,4,4,3,3,2.50292,0.5834,3.65097,29.3,0,0,46.3732,-120.32
505098,SHUKSAN REHABILITATION AND HEALTH CARE,BELLINGHAM,98225,Whatcom,For profit - Corporation,52,1,1,4,3,2.37096,0.94663,3.85088,62.7,74794,2,48.7495,-122.47
505099,SPOKANE VALLEY HEALTH AND REHABILITATION OF CASCAD,SPOKANE VALLEY,99016,Spokane,For profit - Limited Liability company,97,2,3,2,1,NA,NA,NA,NA,27034,4,47.6433,-117.15
505114,AURORA VALLEY CARE,SPOKANE,99206,Spokane,For profit - Limited Liability company,124,2,1,5,4,2.43299,0.69428,4.10008,66.7,93457,1,47.6532,-117.26
505123,Bremerton Trails Post Acute,BREMERTON,98310,Kitsap,For profit - Limited Liability company,125,1,1,4,3,2.22438,0.52649,3.83492,61.1,174068,3,47.5847,-122.63
505126,AVALON HEALTH & REHABILITATION CENTER - PASCO,PASCO,99301,Franklin,For profit - Corporation,108,1,1,4,4,2.54095,0.99179,4.24577,50.6,0,0,46.2457,-119.12
505128,SEQUIM BAY POST ACUTE,SEQUIM,98382,Clallam,For profit - Limited Liability company,100,3,3,4,3,2.35418,0.6566,3.79586,48.6,61263,1,48.0751,-123.12
505140,HIGHLAND HEALTH AND REHABILITATION OF CASCADIA,BELLINGHAM,98229,Whatcom,For profit - Corporation,44,3,3,4,4,2.03584,1.28935,3.67666,56.9,69274,3,48.7099,-122.46
505151,CASHMERE POST ACUTE,CASHMERE,98815,Chelan,For profit - Limited Liability company,95,3,3,2,3,2.38052,0.86512,3.3373,35.1,15340,1,47.517,-120.48
505154,TACOMA NURSING AND REHABILITATION CENTER,TACOMA,98444,Pierce,For profit - Limited Liability company,150,5,5,5,3,2.92517,0.58837,5.00913,52.6,36446,1,47.1701,-122.44
